nestid,date,status,nest_quality,egg_n,chick_n,ch1_size,ch2_size,n_neighbors,observer,proofed,notes
1,12/5/2022,MT,,,,,,,DJ,y,No flag found and no nearby nests
2,,,,,,,,,,,
3,11/22/2022,INC,,9,,,,,DJ,y,
3,12/7/2022,INC,FBN,9,,,,0,DJ,y,
4,,,,,,,,,,,
4,12/7/2022,INC?,,9,,,,A WHOLE NEW SUBCOL?,MLE,y,"FL OUT, 0 SOLOS CLOSE, KINDA A BIG SUBCOL HERE NOW"
5,11/22/2022,MT,,,,,,0,MLE,Y,
6,12/4/2022,INC,,9,,,,2,MLE,y,"w 2 neighbors active, plus 2 STDs"
6,12/7/2022,INC,WBN,8,,,,3,MLE,y,2 NEIGHBORS INC 9 ON WBN PLUS ONE IN SC
7,,,,,,,,,,,
8,11/22/2022,INC,,9,,,,1,DJ,y,
8,12/4/2022,INC,,2,,,,1,MLE,y,neighbor was active (INC 8)
8,12/5/2022,MT?,,,,,,1 OR 2,DJ,y,Flag is just below two other nests and next to empty scoop. Two other nests are INC2 and INC9
9,12/7/2022,INC?,WBN,9,,,,,MLE,y,"unclear, FL out, one INC9 cl to GPS pt but seems too cl to subcol (<1 GB away)"
10,12/5/2022,INC?,,,,,,2,MLE,y,"FL out. 2 nests b/t solo nests 10, 11, 12"
11,12/5/2022,MT,,,,,,,MLE,y,FL out. No one close
12,12/5/2022,MT,,,,,,,MLE,y,FL out. No one close
13,12/5/2022,INC?,,,,,,6,DJ,y,No flag found. Group of 7 nests at gps coords
14,12/5/2022,MT,,,,,,,AYL,y,FL in
15,12/5/2022,MT,,,,,,,AYL,y,no FL
15,1/15/2023,UNK,,,,,,,AL,y,NO FLAG
16,12/2/2022,MT,,,,,,,DJ,y,FL broken
16,1/15/2023,UNK,,,,,,,AL,y,"EMPTY NEST, PULLED NAIL, FLAG WAS GONE"
17,12/5/2022,INC,WBN,8,,,,0,MLE,y,re-FL
18,12/5/2022,MT,,,,,,,DJ,y,No flag or nests in the area
19,12/5/2022,INC?,,,,,,4,MLE,y,"FL out, unclear. 5 occupied territories close to point"
20,11/22/2022,INC,WBN,9,,,,2,MLE,y,1 neighbor was WBN
20,11/29/2022,INC,,9,,,,,DJ,y,
20,12/4/2022,INC,,2,,,,0,MLE,y,
20,12/5/2022,INC,WBN,9,,,,0,MLE,y,
21,11/22/2022,WBN,WBN,,,,,0,MLE,Y,
21,11/28/2022,MT,,,,,,,DJ,y,
21,12/4/2022,MT,,,,,,,MLE,y,
22,,,,,,,,,,,
22,12/7/2022,FAIL?,,,,,,,DJ,y,No flag or nest found but there was a nest or pair in this area earlier in the season.
23,12/5/2022,MT,,,,,,,MLE,y,"no flag, no birds around"
24,11/19/2022,P/INC,,8,,,,,DJ,y,
