proofed,bandnumb,bandseen,location,status,nuegg,nuch,bandgap,subcolony,flagged,chick1size,chick2size,chick1age,chick2age,sex,sexhow,nestpos,date,initials,notes,lat,lon,datum,orig_col,colony
1,48803,"Y","C","P/WBN",0,0,0,"","N","","",0,0,"M","",0,11/06/2016,"GB","SEX BY HEAD SIZE",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,49768,"Y","L BCH","STD",0,0,0,"","N","","",0,0,"U","",0,11/06/2016,"GB","PREENING",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70447,"Y","L","SC",0,0,1,"BEACH"," ","","",0,0,"M","",0,11/06/2016,"GB","BILL SIZE",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,51053,"Y","M","P/PBN",0,0,2,"38"," ","","",0,0,"U","",2,11/07/2016,"MLE","MALE? BY BS",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71515,"Y","M","P/FBN",0,0,1,""," ","","",0,0,"F","",0,11/06/2016,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,62104,"Y","M","PBN",0,0,0,"38"," ","","",0,0,"M","",1,11/07/2016,"MLE","MALE BY EV",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71862,"Y","M","STD",0,0,0,"38"," ","","",0,0,"U","",5,11/07/2016,"MLE","MALE? BY BS",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71915,"Y","M","STD",0,0,2,"38"," ","","",0,0,"U","",0,11/07/2016,"MLE","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,46478,"Y","M","P/PBN",0,0,1,"2"," ","","",0,0,"U","",4,11/07/2016,"MLE","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70228,"Y","M","P/WBN",0,0,2,""," ","","",0,0,"M","",0,11/06/2016,"GB","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71203,"Y","M","P/FBN",0,0,2,"2"," ","","",0,0,"U","",5,11/07/2016,"MLE","FEM? BY BS",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71475,"Y","M","P/PBN",0,0,1,"2"," ","","",0,0,"U","",3,11/07/2016,"MLE","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,70213,"Y","M","STD/SC",0,0,2,""," ","","",0,0,"U","",0,11/06/2016,"GB","BLOODY ON LEFT SIDE",0.000000,0.000000,"WGS84","CROZ","CROZ"
