proofed,bandnumb,bandseen,location,status,nuegg,nuch,bandgap,subcolony,flagged,chick1size,chick2size,chick1age,chick2age,sex,sexhow,nestpos,date,initials,notes,lat,lon,datum,orig_col,colony
1,48391,"Y","","SC",0,0,2,"20"," ","","",0,0,"M","TIME",1,10/27/2019,"PL","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,41854,"Y","M","P/FBN",0,0,1,"3"," ","","",0,0,"F","BS",1,10/29/2019,"PL","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,32426,"Y","M","SC",0,0,1,"1"," ","","",0,0,"M","TIME",1,10/29/2019,"PL","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,50936,"Y","M","SC",0,0,2,"1"," ","","",0,0,"M","TIME",2,10/29/2019,"PL","KEEP AN EYE ON BAND, MAY WANT TO FIX",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72869,"Y","M","PBN",0,0,1,"2"," ","","",0,0,"M","TIME",1,10/29/2019,"PL","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72062,"Y","M","SC",0,0,1,"2"," ","","",0,0,"M","TIME",2,10/29/2019,"PL","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,48391,"Y","M","SC",0,0,2,"20","N","","",0,0,"U","",1,10/27/2019,"VM","FIRST BAND SEEN!",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,71555,"Y","M","SC",0,0,1,"1"," ","","",0,0,"M","TIME",1,10/29/2019,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,32426,"Y","M","SC",0,0,1,"1"," ","","",0,0,"M","TIME",1,10/29/2019,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,50936,"Y","M","SC",0,0,2,"1"," ","","",0,0,"M","TIME",2,10/29/2019,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
1,72869,"Y","M","PBN",0,0,1,"2"," ","","",0,0,"M","TIME",1,10/29/2019,"AS","",0.000000,0.000000,"WGS84","CROZ","CROZ"
